trial,model,dataset,status,test_auc,test_ap,test_f1,epochs,time,best_auc,best_auc_trial,best_ap,best_ap_trial,best_f1,best_f1_trial
1,ANOMALY,WEIBO,completed,0.852,0.338,0.232,30,14.621,0.945,10,0.389,8,0.483,18
2,ANOMALY,WEIBO,completed,0.928,0.327,0.353,31,16.892,0.945,10,0.389,8,0.483,18
3,ANOMALY,WEIBO,completed,0.933,0.359,0.413,38,21.211,0.945,10,0.389,8,0.483,18
4,ANOMALY,WEIBO,completed,0.911,0.297,0.298,33,17.73,0.945,10,0.389,8,0.483,18
5,ANOMALY,WEIBO,completed,0.904,0.308,0.384,38,20.893,0.945,10,0.389,8,0.483,18
6,ANOMALY,WEIBO,completed,0.901,0.339,0.473,57,32.83,0.945,10,0.389,8,0.483,18
7,ANOMALY,WEIBO,completed,0.919,0.312,0.27,31,16.318,0.945,10,0.389,8,0.483,18
8,ANOMALY,WEIBO,completed,0.916,0.389,0.332,44,24.98,0.945,10,0.389,8,0.483,18
9,ANOMALY,WEIBO,completed,0.929,0.379,0.449,61,35.114,0.945,10,0.389,8,0.483,18
10,ANOMALY,WEIBO,completed,0.945,0.31,0.373,30,16.306,0.945,10,0.389,8,0.483,18
11,ANOMALY,WEIBO,completed,0.887,0.336,0.362,39,21.622,0.945,10,0.389,8,0.483,18
12,ANOMALY,WEIBO,completed,0.901,0.3,0.375,30,16.934,0.945,10,0.389,8,0.483,18
13,ANOMALY,WEIBO,completed,0.916,0.288,0.26,30,16.311,0.945,10,0.389,8,0.483,18
14,ANOMALY,WEIBO,completed,0.908,0.366,0.379,30,16.723,0.945,10,0.389,8,0.483,18
15,ANOMALY,WEIBO,completed,0.86,0.283,0.374,36,19.874,0.945,10,0.389,8,0.483,18
16,ANOMALY,WEIBO,completed,0.842,0.27,0.438,96,53.318,0.945,10,0.389,8,0.483,18
17,ANOMALY,WEIBO,completed,0.879,0.34,0.458,60,34.914,0.945,10,0.389,8,0.483,18
18,ANOMALY,WEIBO,completed,0.933,0.363,0.483,67,40.65,0.945,10,0.389,8,0.483,18
19,ANOMALY,WEIBO,completed,0.901,0.305,0.259,30,16.834,0.945,10,0.389,8,0.483,18
20,ANOMALY,WEIBO,completed,0.932,0.317,0.376,38,20.819,0.945,10,0.389,8,0.483,18
