trial,model,dataset,status,test_auc,test_ap,test_f1,epochs,time,best_auc,best_auc_trial,best_ap,best_ap_trial,best_f1,best_f1_trial
1,GAT,WEIBO,completed,0.929,0.326,0.369,55,56.741,0.956,10,0.417,10,0.523,17
2,GAT,WEIBO,completed,0.931,0.325,0.401,38,37.996,0.956,10,0.417,10,0.523,17
3,GAT,WEIBO,completed,0.915,0.251,0.363,88,89.026,0.956,10,0.417,10,0.523,17
4,GAT,WEIBO,completed,0.89,0.306,0.361,34,34.028,0.956,10,0.417,10,0.523,17
5,GAT,WEIBO,completed,0.923,0.254,0.373,62,63.145,0.956,10,0.417,10,0.523,17
6,GAT,WEIBO,completed,0.93,0.273,0.363,42,41.287,0.956,10,0.417,10,0.523,17
7,GAT,WEIBO,completed,0.937,0.26,0.412,51,51.735,0.956,10,0.417,10,0.523,17
8,GAT,WEIBO,completed,0.924,0.294,0.373,34,33.291,0.956,10,0.417,10,0.523,17
9,GAT,WEIBO,completed,0.943,0.333,0.301,48,48.463,0.956,10,0.417,10,0.523,17
10,GAT,WEIBO,completed,0.956,0.417,0.467,100,98.765,0.956,10,0.417,10,0.523,17
11,GAT,WEIBO,completed,0.928,0.299,0.372,34,32.777,0.956,10,0.417,10,0.523,17
12,GAT,WEIBO,completed,0.941,0.361,0.512,58,57.744,0.956,10,0.417,10,0.523,17
13,GAT,WEIBO,completed,0.947,0.302,0.482,36,36.322,0.956,10,0.417,10,0.523,17
14,GAT,WEIBO,completed,0.936,0.243,0.372,33,33.222,0.956,10,0.417,10,0.523,17
15,GAT,WEIBO,completed,0.897,0.273,0.371,52,51.281,0.956,10,0.417,10,0.523,17
16,GAT,WEIBO,completed,0.915,0.23,0.261,37,37.042,0.956,10,0.417,10,0.523,17
17,GAT,WEIBO,completed,0.956,0.399,0.523,58,58.113,0.956,10,0.417,10,0.523,17
18,GAT,WEIBO,completed,0.912,0.247,0.374,43,42.574,0.956,10,0.417,10,0.523,17
19,GAT,WEIBO,completed,0.913,0.312,0.383,46,44.906,0.956,10,0.417,10,0.523,17
20,GAT,WEIBO,completed,0.936,0.3,0.407,75,75.91,0.956,10,0.417,10,0.523,17
