trial,model,dataset,status,test_auc,test_ap,test_f1,epochs,time,best_auc,best_auc_trial,best_ap,best_ap_trial,best_f1,best_f1_trial
1,GCN,WEIBO,completed,0.956,0.417,0.539,100,18.082,0.969,9,0.451,17,0.539,1
2,GCN,WEIBO,completed,0.965,0.41,0.457,30,5.272,0.969,9,0.451,17,0.539,1
3,GCN,WEIBO,completed,0.958,0.381,0.43,30,5.298,0.969,9,0.451,17,0.539,1
4,GCN,WEIBO,completed,0.951,0.354,0.42,30,5.279,0.969,9,0.451,17,0.539,1
5,GCN,WEIBO,completed,0.949,0.335,0.427,30,5.233,0.969,9,0.451,17,0.539,1
6,GCN,WEIBO,completed,0.964,0.392,0.45,30,5.328,0.969,9,0.451,17,0.539,1
7,GCN,WEIBO,completed,0.95,0.385,0.474,51,8.985,0.969,9,0.451,17,0.539,1
8,GCN,WEIBO,completed,0.963,0.388,0.456,30,5.316,0.969,9,0.451,17,0.539,1
9,GCN,WEIBO,completed,0.969,0.449,0.447,30,5.334,0.969,9,0.451,17,0.539,1
10,GCN,WEIBO,completed,0.964,0.378,0.44,30,5.368,0.969,9,0.451,17,0.539,1
11,GCN,WEIBO,completed,0.96,0.437,0.486,30,5.333,0.969,9,0.451,17,0.539,1
12,GCN,WEIBO,completed,0.959,0.381,0.457,30,5.339,0.969,9,0.451,17,0.539,1
13,GCN,WEIBO,completed,0.943,0.355,0.431,30,5.377,0.969,9,0.451,17,0.539,1
14,GCN,WEIBO,completed,0.961,0.418,0.432,30,5.359,0.969,9,0.451,17,0.539,1
15,GCN,WEIBO,completed,0.948,0.378,0.441,30,5.354,0.969,9,0.451,17,0.539,1
16,GCN,WEIBO,completed,0.952,0.34,0.393,30,5.424,0.969,9,0.451,17,0.539,1
17,GCN,WEIBO,completed,0.962,0.451,0.451,30,5.327,0.969,9,0.451,17,0.539,1
18,GCN,WEIBO,completed,0.954,0.395,0.465,30,5.382,0.969,9,0.451,17,0.539,1
19,GCN,WEIBO,completed,0.956,0.388,0.467,30,5.395,0.969,9,0.451,17,0.539,1
20,GCN,WEIBO,completed,0.956,0.399,0.411,30,5.417,0.969,9,0.451,17,0.539,1
