trial,model,dataset,status,test_auc,test_ap,test_f1,epochs,time,best_auc,best_auc_trial,best_ap,best_ap_trial,best_f1,best_f1_trial
1,MULTIHOP,WEIBO,completed,0.921,0.386,0.459,37,11.87,0.952,14,0.434,9,0.518,12
2,MULTIHOP,WEIBO,completed,0.934,0.369,0.509,37,11.687,0.952,14,0.434,9,0.518,12
3,MULTIHOP,WEIBO,completed,0.949,0.353,0.462,37,11.674,0.952,14,0.434,9,0.518,12
4,MULTIHOP,WEIBO,completed,0.94,0.351,0.454,36,11.401,0.952,14,0.434,9,0.518,12
5,MULTIHOP,WEIBO,completed,0.926,0.332,0.453,38,11.914,0.952,14,0.434,9,0.518,12
6,MULTIHOP,WEIBO,completed,0.942,0.374,0.466,37,11.525,0.952,14,0.434,9,0.518,12
7,MULTIHOP,WEIBO,completed,0.927,0.37,0.45,37,11.553,0.952,14,0.434,9,0.518,12
8,MULTIHOP,WEIBO,completed,0.94,0.338,0.476,35,10.992,0.952,14,0.434,9,0.518,12
9,MULTIHOP,WEIBO,completed,0.944,0.434,0.477,37,11.59,0.952,14,0.434,9,0.518,12
10,MULTIHOP,WEIBO,completed,0.948,0.321,0.453,34,10.717,0.952,14,0.434,9,0.518,12
11,MULTIHOP,WEIBO,completed,0.942,0.385,0.47,34,10.686,0.952,14,0.434,9,0.518,12
12,MULTIHOP,WEIBO,completed,0.939,0.402,0.518,39,12.309,0.952,14,0.434,9,0.518,12
13,MULTIHOP,WEIBO,completed,0.938,0.353,0.457,30,9.366,0.952,14,0.434,9,0.518,12
14,MULTIHOP,WEIBO,completed,0.952,0.399,0.479,30,9.316,0.952,14,0.434,9,0.518,12
15,MULTIHOP,WEIBO,completed,0.907,0.315,0.453,38,12.249,0.952,14,0.434,9,0.518,12
16,MULTIHOP,WEIBO,completed,0.919,0.275,0.443,40,12.784,0.952,14,0.434,9,0.518,12
17,MULTIHOP,WEIBO,completed,0.926,0.37,0.474,35,11.171,0.952,14,0.434,9,0.518,12
18,MULTIHOP,WEIBO,completed,0.946,0.378,0.484,33,10.365,0.952,14,0.434,9,0.518,12
19,MULTIHOP,WEIBO,completed,0.937,0.395,0.508,43,13.464,0.952,14,0.434,9,0.518,12
20,MULTIHOP,WEIBO,completed,0.951,0.38,0.433,34,10.64,0.952,14,0.434,9,0.518,12
