trial,model,dataset,status,test_auc,test_ap,test_f1,epochs,time,best_auc,best_auc_trial,best_ap,best_ap_trial,best_f1,best_f1_trial
1,SAGE,WEIBO,completed,0.944,0.41,0.492,30,14.294,0.964,9,0.41,1,0.527,12
2,SAGE,WEIBO,completed,0.957,0.342,0.509,47,22.616,0.964,9,0.41,1,0.527,12
3,SAGE,WEIBO,completed,0.957,0.388,0.496,45,21.404,0.964,9,0.41,1,0.527,12
4,SAGE,WEIBO,completed,0.949,0.362,0.433,30,14.353,0.964,9,0.41,1,0.527,12
5,SAGE,WEIBO,completed,0.941,0.32,0.433,30,14.113,0.964,9,0.41,1,0.527,12
6,SAGE,WEIBO,completed,0.954,0.363,0.472,51,24.228,0.964,9,0.41,1,0.527,12
7,SAGE,WEIBO,completed,0.944,0.339,0.466,36,16.42,0.964,9,0.41,1,0.527,12
8,SAGE,WEIBO,completed,0.945,0.345,0.475,46,21.798,0.964,9,0.41,1,0.527,12
9,SAGE,WEIBO,completed,0.964,0.407,0.512,71,33.196,0.964,9,0.41,1,0.527,12
10,SAGE,WEIBO,completed,0.959,0.365,0.441,32,15.102,0.964,9,0.41,1,0.527,12
11,SAGE,WEIBO,completed,0.944,0.4,0.489,42,19.942,0.964,9,0.41,1,0.527,12
12,SAGE,WEIBO,completed,0.953,0.377,0.527,41,19.375,0.964,9,0.41,1,0.527,12
13,SAGE,WEIBO,completed,0.945,0.312,0.464,42,19.752,0.964,9,0.41,1,0.527,12
14,SAGE,WEIBO,completed,0.946,0.326,0.45,30,14.034,0.964,9,0.41,1,0.527,12
15,SAGE,WEIBO,completed,0.946,0.34,0.483,30,14.016,0.964,9,0.41,1,0.527,12
16,SAGE,WEIBO,completed,0.948,0.298,0.408,30,14.192,0.964,9,0.41,1,0.527,12
17,SAGE,WEIBO,completed,0.952,0.373,0.525,39,18.625,0.964,9,0.41,1,0.527,12
18,SAGE,WEIBO,completed,0.957,0.381,0.47,30,14.064,0.964,9,0.41,1,0.527,12
19,SAGE,WEIBO,completed,0.95,0.385,0.518,51,23.829,0.964,9,0.41,1,0.527,12
20,SAGE,WEIBO,completed,0.947,0.299,0.409,30,13.974,0.964,9,0.41,1,0.527,12
