trial,model,dataset,status,test_auc,test_ap,test_f1,epochs,time,best_auc,best_auc_trial,best_ap,best_ap_trial,best_f1,best_f1_trial
1,SELECTIVE,WEIBO,completed,0.891,0.364,0.387,41,4.058,0.945,3,0.378,18,0.477,2
2,SELECTIVE,WEIBO,completed,0.9,0.352,0.477,41,3.702,0.945,3,0.378,18,0.477,2
3,SELECTIVE,WEIBO,completed,0.945,0.349,0.427,46,4.267,0.945,3,0.378,18,0.477,2
4,SELECTIVE,WEIBO,completed,0.914,0.334,0.406,67,5.867,0.945,3,0.378,18,0.477,2
5,SELECTIVE,WEIBO,completed,0.898,0.308,0.393,43,3.639,0.945,3,0.378,18,0.477,2
6,SELECTIVE,WEIBO,completed,0.899,0.33,0.443,47,4.944,0.945,3,0.378,18,0.477,2
7,SELECTIVE,WEIBO,completed,0.881,0.347,0.445,88,7.721,0.945,3,0.378,18,0.477,2
8,SELECTIVE,WEIBO,completed,0.904,0.3,0.426,56,4.829,0.945,3,0.378,18,0.477,2
9,SELECTIVE,WEIBO,completed,0.888,0.375,0.447,46,4.508,0.945,3,0.378,18,0.477,2
10,SELECTIVE,WEIBO,completed,0.916,0.305,0.433,74,6.727,0.945,3,0.378,18,0.477,2
11,SELECTIVE,WEIBO,completed,0.896,0.363,0.419,30,3.118,0.945,3,0.378,18,0.477,2
12,SELECTIVE,WEIBO,completed,0.901,0.344,0.397,32,2.948,0.945,3,0.378,18,0.477,2
13,SELECTIVE,WEIBO,completed,0.924,0.297,0.437,45,4.265,0.945,3,0.378,18,0.477,2
14,SELECTIVE,WEIBO,completed,0.881,0.361,0.404,52,4.774,0.945,3,0.378,18,0.477,2
15,SELECTIVE,WEIBO,completed,0.88,0.305,0.442,39,4.058,0.945,3,0.378,18,0.477,2
16,SELECTIVE,WEIBO,completed,0.908,0.266,0.417,48,4.907,0.945,3,0.378,18,0.477,2
17,SELECTIVE,WEIBO,completed,0.901,0.353,0.455,43,4.531,0.945,3,0.378,18,0.477,2
18,SELECTIVE,WEIBO,completed,0.93,0.378,0.464,31,3.295,0.945,3,0.378,18,0.477,2
19,SELECTIVE,WEIBO,completed,0.936,0.363,0.473,36,4.084,0.945,3,0.378,18,0.477,2
20,SELECTIVE,WEIBO,completed,0.936,0.323,0.45,51,4.392,0.945,3,0.378,18,0.477,2
